"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"myfile.zip"	".zip"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"225"	"63"	"d51e8b2628f99758a8168da18be9bd38"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfile.zip"
"myfile.zip-slack"	".zip-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"799"	"63"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfile.zip-slack"
"myfile22.zip"	".zip"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"372"	"64"	"ca81773c3449f55ce8dac67b968c4013"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfile22.zip"
"myfile22.zip-slack"	".zip-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"652"	"64"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfile22.zip-slack"
"myfilegzip.txt.gz"	".gz"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"59"	"67"	"0c2b55d7693290a02f5844ebfbe47054"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfilegzip.txt.gz"
"myfilegzip.txt.gz-slack"	".gz-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"965"	"67"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfilegzip.txt.gz-slack"
"myfilegzip2.txt.gz.0.gz"	".gz"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"104"	"70"	"a36d9fe4e216896f5a34a6faca7fe3b9"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfilegzip2.txt.gz.0.gz"
"myfilegzip2.txt.gz.0.gz-slack"	".gz-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"920"	"70"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/myfilegzip2.txt.gz.0.gz-slack"
"Makefile"	""	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"509"	"72"	"072f92d5944faabc0f63bc8a19f42608"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/Makefile"
"Makefile-slack"	""	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"515"	"72"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/Makefile-slack"
"$MBR"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"512"	"326371"	"85a31086f33c4701e9f9e50f77bd02ab"	"unknown"	"v---------"	"/img_nps-2010-emails.E01/vol_vol2/$MBR"
"$FAT1"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"20480"	"326372"	"bd363f01f5cead34db1e3667dc3e1686"	"unknown"	"v---------"	"/img_nps-2010-emails.E01/vol_vol2/$FAT1"
"$FAT2"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"20480"	"326373"	"bd363f01f5cead34db1e3667dc3e1686"	"unknown"	"v---------"	"/img_nps-2010-emails.E01/vol_vol2/$FAT2"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_nps-2010-emails.E01/vol_vol2/$OrphanFiles"
"0"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"a2846b5a7d796f4c3b21190bc9832567"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/.fseventsd/636573a9bdc4f9e3/636573a9bdc4f9e3/0"
"thumbnail.jpeg"	".jpeg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"16764"	"0"	"e48190cf331eba57330339793e3c6cc0"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/testfilex.docx/thumbnail.jpeg"
"thumbnail.jpeg"	".jpeg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"32716"	"0"	"052ef6f32d6b628acc5b5ce4e178f1af"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/workbook2.xlsx/thumbnail.jpeg"
"Microsoft_Office_Word_Document1.docx"	".docx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"10166"	"0"	"fbf72b580517d21108a00ff187ceac86"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/docx_within_docx.docx/Microsoft_Office_Word_Document1.docx"
"image1.emf"	".emf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2128"	"0"	"e4db8cf6dd57fece638679584d24a8ee"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/docx_within_docx.docx/image1.emf"
"image_0.emf"	".emf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2140"	"0"	"92205db539b7deb32ac124896e294d32"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/doc_within_doc.doc/image_0.emf"
"image_0.emf"	".emf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"6832"	"0"	"a4fd1e32b3840a8562685efebbfff4dc"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/ppt_within_doc.doc/image_0.emf"
"Microsoft_Office_PowerPoint_Presentation1.pptx"	".pptx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"35392"	"0"	"452cdea61084d8b814648b53dfeac283"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/pptx_within_docx.docx/Microsoft_Office_PowerPoint_Presentation1.pptx"
"image1.emf"	".emf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"7816"	"0"	"c5946545d66f737efd57b7b4cf6dcbe1"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/pptx_within_docx.docx/image1.emf"
"thumbnail.jpeg"	".jpeg"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"7168"	"0"	"4ce115724952b2e62ad3aea4e04763d2"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/pptx_within_docx.docx/Microsoft_Office_PowerPoint_Presentation1.pptx/thumbnail.jpeg"
"image_0.emf"	".emf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2748"	"0"	"13d97b721db849eaa08d9b001bab2762"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/xls_within_doc.doc/image_0.emf"
"Microsoft_Office_Excel_Worksheet1.xlsx"	".xlsx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"8778"	"0"	"cadda4f10a2192e7f759ff1304751786"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/xlsx_within_docx.docx/Microsoft_Office_Excel_Worksheet1.xlsx"
"image1.emf"	".emf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2760"	"0"	"fc68d2c7928d62c543512d44714e1a27"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/xlsx_within_docx.docx/image1.emf"
"myfile.txt"	".txt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2011-02-03 03:06:59 WIB"	"798"	"0"	"8da6985033fcc36733224db84cd4cced"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/myfile.zip/myfile.txt"
"myfile2.zip"	".zip"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2010-11-11 09:54:14 WIB"	"200"	"0"	"a2b66e28a3eeb6616b4239d6aed4996a"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/myfile22.zip/myfile2.zip"
"myfile2.txt"	".txt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2010-11-11 09:54:03 WIB"	"30"	"0"	"d3f6385357a5936071099b43eb9bd539"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/myfile22.zip/myfile2.zip/myfile2.txt"
"myfilegzip.txt"	".txt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2010-11-11 09:54:42 WIB"	"27"	"0"	"94d5ee4b8d9f35fff93ba271b53ef906"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/myfilegzip.txt.gz/myfilegzip.txt"
"myfilegzip2.txt.gz.0"	".0"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2010-11-11 09:55:01 WIB"	"62"	"0"	"96cc15f023fecfad48d06d2c7d5e227c"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/myfilegzip2.txt.gz.0.gz/myfilegzip2.txt.gz.0"
"myfilegzip2.txt"	".txt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2010-11-11 09:55:01 WIB"	"32"	"0"	"8ffd7166b7a3e6c668100798fdfee748"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/myfilegzip2.txt.gz.0.gz/myfilegzip2.txt.gz.0/myfilegzip2.txt"
"f0000000.apple"	".apple"	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"9637888"	"0"	"c66ef545f5580b8a644db43a69a84165"	"unknown"	"r---------"	"/img_nps-2010-emails.E01/vol_vol2/$CarvedFiles/1/f0000000.apple"

